0,0,0,0,WHITE
0,0,0,1,WHITE
0,0,0,2,WHITE
0,0,1,0,WHITE
0,0,1,1,WHITE
0,0,1,2,WHITE
0,0,2,0,PURPLE
0,0,2,1,PURPLE
0,0,2,2,PURPLE
0,1,0,0,YELLOW
0,1,0,1,YELLOW
0,1,0,2,YELLOW
0,1,1,0,WHITE
0,1,1,1,WHITE
0,1,1,2,WHITE
0,1,2,0,PURPLE
0,1,2,1,PURPLE
0,1,2,2,PURPLE
0,2,0,0,YELLOW
0,2,0,1,YELLOW
0,2,0,2,YELLOW
0,2,1,0,YELLOW
0,2,1,1,YELLOW
0,2,1,2,YELLOW
0,2,2,0,WHITE
0,2,2,1,WHITE
0,2,2,2,WHITE
1,0,0,0,RED
1,0,0,1,PINK
1,0,0,2,WHITE
1,0,1,0,RED
1,0,1,1,PINK
1,0,1,2,WHITE
1,0,2,0,RED
1,0,2,1,PINK
1,0,2,2,PURPLE
1,1,0,0,ORANGE
1,1,0,1,YELLOW
1,1,0,2,YELLOW
1,1,1,0,RED
1,1,1,1,PINK
1,1,1,2,WHITE
1,1,2,0,RED
1,1,2,1,PINK
1,1,2,2,PURPLE
1,2,0,0,ORANGE
1,2,0,1,YELLOW
1,2,0,2,YELLOW
1,2,1,0,ORANGE
1,2,1,1,YELLOW
1,2,1,2,YELLOW
1,2,2,0,RED
1,2,2,1,PINK
1,2,2,2,WHITE
2,0,0,0,BLACK
2,0,0,1,RED
2,0,0,2,PINK
2,0,1,0,BLACK
2,0,1,1,RED
2,0,1,2,PINK
2,0,2,0,BLACK
2,0,2,1,RED
2,0,2,2,PINK
2,1,0,0,ORANGE
2,1,0,1,ORANGE
2,1,0,2,YELLOW
2,1,1,0,RED
2,1,1,1,RED
2,1,1,2,WHITE
2,1,2,0,BLACK
2,1,2,1,RED
2,1,2,2,PURPLE
2,2,0,0,ORANGE
2,2,0,1,ORANGE
2,2,0,2,YELLOW
2,2,1,0,ORANGE
2,2,1,1,ORANGE
2,2,1,2,YELLOW
2,2,2,0,BLUE
2,2,2,1,RED
2,2,2,2,WHITE
